year,ceremony,category,nominee,film,country,winner,source_url
1989,Berlin IFF 1989,Silver Bear Best Actor,Gene Hackman,Mississippi Burning,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
1989,Berlin IFF 1989,Silver Bear Best Actress,Isabelle Adjani,Camille Claudel,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
1989,Berlin IFF 1989,Silver Bear Best Director,Dušan Hanák,"I Love, You Love",,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
1989,Berlin IFF 1989,Silver Bear Grand Jury Prize,Wu Ziniu,Evening Bell,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
1990,Berlin IFF 1990,Golden Bear,,Larks on a String,,1,https://en.wikipedia.org/wiki/Golden_Bear
1990,Berlin IFF 1990,Golden Bear,,Costa-Gavras,,1,https://en.wikipedia.org/wiki/Golden_Bear
1990,Berlin IFF 1990,Silver Bear Best Actor,Iain Glen,Silent Scream,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
1990,Berlin IFF 1990,Silver Bear Best Director,Michael Verhoeven,The Nasty Girl,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
1990,Berlin IFF 1990,Silver Bear Grand Jury Prize,Kira Muratova,The Asthenic Syndrome,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
1991,Berlin IFF 1991,Golden Bear,,The House of Smiles,,1,https://en.wikipedia.org/wiki/Golden_Bear
1991,Berlin IFF 1991,Silver Bear Best Actor,Maynard Eziashi,Mister Johnson,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
1991,Berlin IFF 1991,Silver Bear Best Actress,Victoria Abril,Lovers,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
1991,Berlin IFF 1991,Silver Bear Best Director,Jonathan Demme,The Silence of the Lambs,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
1991,Berlin IFF 1991,Silver Bear Best Director,Ultra,Ultrà,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
1991,Berlin IFF 1991,Silver Bear Grand Jury Prize,Marco Bellocchio,The Conviction,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
